X;Y;Area
386;116;0
384;117;0
386;118;0
411;123;0
444;127;0
413;122;0
448;129;0
450;131;0
450;132;0
387;118;0
450;133;0
451;134;0
415;135;0
453;135;0
415;136;0
415;137;0
385;119;0
385;120;0
386;121;0
392;137;0
414;136;0
394;136;0
455;135;0
296;145;0
338;145;0
459;138;0
391;137;0
341;146;0
453;136;0
393;137;0
364;138;0
394;138;0
453;138;0
415;139;0
455;139;0
393;140;0
453;140;0
394;141;0
394;142;0
399;155;0
400;155;0
401;156;0
407;162;0
408;162;0
409;148;0
463;149;0
324;166;0
357;178;0
307;180;0
356;178;0
342;183;0
298;184;0
343;184;0
296;184;0
344;185;0
297;184;0
401;180;0
418;180;0
356;189;0
310;184;0
346;189;0
330;194;0
389;188;0
332;195;0
316;181;0
352;196;0
332;197;0
399;179;0
401;181;0
412;196;0
298;186;0
298;188;0
466;199;0
298;189;0
481;210;0
481;211;0
443;213;0
439;211;0
438;210;0
485;206;0
487;205;0
375;222;0
327;219;0
296;222;0
376;224;0
334;221;0
335;221;0
343;218;0
336;221;0
338;220;0
337;220;0
354;237;0
356;238;0
356;239;0
377;225;0
381;227;0
309;228;0
381;228;0
463;248;0
327;250;0
445;242;0
359;241;0
425;254;0
425;255;0
425;257;0
392;263;0
372;268;0
421;256;0
331;261;0
373;268;0
374;268;0
375;268;0
321;30;1
304;39;1
304;41;1
329;42;1
308;41;1
331;43;1
330;45;1
329;46;1
329;47;1
302;39;1
303;41;1
329;52;1
343;54;1
342;54;1
304;42;1
341;55;1
341;56;1
348;71;1
355;76;1
350;72;1
368;98;1
376;89;1
394;96;1
385;92;1
380;107;1
386;113;1
386;114;1
386;115;1
393;113;1
253;135;2
272;140;2
193;156;2
199;156;2
185;156;2
188;156;2
219;158;2
236;160;2
247;164;2
255;165;2
262;166;2
265;167;2
224;160;2
220;162;2
237;162;2
243;162;2
275;172;3
174;186;3
174;187;3
174;188;3
173;189;3
275;173;3
174;191;3
220;186;3
244;189;3
126;187;3
152;200;3
275;214;4
276;215;4
277;216;4
259;218;4
216;228;4
257;219;4
269;230;4
198;232;4
209;230;4
206;252;4
319;269;5
319;270;5
320;271;5
276;284;5
298;270;5
272;286;5
294;281;5
293;282;5
337;287;5
298;271;5
298;272;5
323;274;5
262;290;5
247;293;5
244;293;5
240;294;5
259;291;5
255;292;5
252;293;5
258;309;5
228;299;5
321;30;1
304;39;1
304;41;1
329;42;1
308;41;1
331;43;1
330;45;1
329;46;1
329;47;1
302;39;1
303;41;1
329;52;1
343;54;1
342;54;1
304;42;1
341;55;1
341;56;1
348;71;1
355;76;1
350;72;1
368;98;1
376;89;1
394;96;1
385;92;1
380;107;1
386;113;1
386;114;1
386;115;1
393;113;1
253;135;2
272;140;2
193;156;2
199;156;2
185;156;2
188;156;2
219;158;2
236;160;2
247;164;2
255;165;2
262;166;2
265;167;2
224;160;2
220;162;2
237;162;2
243;162;2
275;172;3
174;186;3
174;187;3
174;188;3
173;189;3
275;173;3
174;191;3
220;186;3
244;189;3
126;187;3
152;200;3
275;214;4
276;215;4
277;216;4
259;218;4
216;228;4
257;219;4
269;230;4
198;232;4
209;230;4
206;252;4
319;269;5
319;270;5
320;271;5
276;284;5
298;270;5
272;286;5
294;281;5
293;282;5
337;287;5
298;271;5
298;272;5
323;274;5
262;290;5
247;293;5
244;293;5
240;294;5
259;291;5
255;292;5
252;293;5
258;309;5
228;299;5
