X;Y;Area
129.71;49.92;0
98.06;165.8;0
98.43;169.76;0
95.84;119.99;0
94.84;120.13;0
55.32;161.93;0
53.33;162.22;0
39.65;156.17;0
36.76;157.59;0
35.76;157.73;0
34.77;157.87;0
33.68;157.03;0
32.68;157.17;0
30.32;153.5;0
29.33;153.64;0
28.33;153.79;0
27.24;152.94;0
26.07;151.11;0
25.07;151.25;0
24.07;151.39;0
22.99;150.55;0
13.6;16.51;0
15.8;116.48;0
22.89;149.56;0
1.16;173.08;0
4.3;117.37;0
4.55;136.47;0
1.62;168.13;0
3.37;138.3;0
19.82;91.53;0
23.44;85.03;0
27.26;76.56;0
28.16;77.69;0
13.35;128.71;0
25.12;121.38;0
31.78;158.44;0
56.13;4.5;0
41.76;225.06;0
46.01;222.67;0
47.19;220.83;0
70.63;153.01;0
85.6;209.32;0
